Monomer,Radical,DE_tail,DE_head,DE_precursor,DE_TS,DE_product,DE_barrier,DE_reaction,E_Rad_SOMO,E_Rad_LUMO,E_Mon_HOMO,E_Mon_LUMO,DE_SHgap,DE_SLgap,VBur_R228_Rad,VBur_R350_Rad,VBur_R228_Mon,VBur_R350_Mon,Volume_Rad,Volume_Mon,CCdist_TS,Theta_TS,Sum_MW,logP_Rad,logP_Mon
C=CC(=O)OCC(C)C,C=C(C)C(=O)OC,0.0385338000849628,0.061518378913945,-0.010577370390024,-0.0016086575550389,-0.031966476846037,0.0089687128349851,-0.0213891064560129,-0.214231645,0.0445721163,-0.279075073,-0.0513626478,0.064843428,0.1628689972,83.66028208297358,38.50380918436675,95.1832431738488,66.36034939799293,103.2494,108.8559,2.2455561465002383,50.35783265670176,243.1596342144,1.0,1.9
C=CC(=O)OCCCCCCCC,C=C(C)C(=O)OC,0.0385338000849628,0.061518378913945,-0.0137723193308829,-0.0002930819698576,-0.0314201198918908,0.0134792373610252,-0.0176478005610078,-0.214231645,0.0445721163,-0.278665764,-0.0512809256,0.0644341189999999,0.1629507194,83.66028208297358,38.51961117360748,95.1832431738488,66.36034939799293,103.2494,168.1208,2.252436808616393,64.83582858345329,299.22223447040005,1.0,3.6
C=CC(=O)O[C@@]12C[C@@H]3C[C@@H](C[C@@](O)(C3)C1)C2,C=C(C)C(=O)OC,0.0385338000849628,0.061518378913945,-0.01773856805994,-0.0051157256327769,-0.0365278616088744,0.012622842427163,-0.0187892935489344,-0.214231645,0.0445721163,-0.26420562,-0.0516724186,0.0499739749999999,0.1625592264,83.66556830682251,38.367995611641405,95.1832431738488,66.36034939799293,103.2494,161.36190000000002,2.2611425085378856,318.9808813280901,337.2014990260001,1.0,1.2
C=CC(=O)OCCCCO,C=C(C)C(=O)OC,0.0385338000849628,0.061518378913945,-0.0134199645909802,-0.0014531571240468,-0.0313241717459504,0.0119668074669334,-0.0179042071549702,-0.214231645,0.0445721163,-0.270747312,-0.0501338597,0.056515667,0.1640977853,83.78639628051221,38.65716505351793,95.1832431738488,66.36034939799293,103.2494,113.9009,2.242302715975031,221.07022989425815,259.154548834,1.0,0.7
C=COCCOCCOC(=O)C=C,C=C(C)C(=O)OC,0.0385338000849628,0.061518378913945,-0.0053389684310332,0.0053893695030637,-0.0258826812669212,0.0107283379340969,-0.020543712835888,-0.214231645,0.0445721163,-0.213033088,-0.0585952877,-0.0011985569999999,0.1556363573,83.79394802886782,39.03627357072052,95.1832431738488,66.36034939799293,103.2494,141.1965,2.2605891939505507,314.4386280301256,301.16511351760016,1.0,0.9
C=CC(=O)OC(C)(C)C,C=C(C)C(=O)OC,0.0385338000849628,0.061518378913945,-0.0148937975490071,-0.004589282543975,-0.0347461841249696,0.010304515005032,-0.0198523865759625,-0.214231645,0.0445721163,-0.269193007,-0.0499029954,0.0549613619999999,0.1643286496,83.78689973040258,38.93937326665405,95.1832431738488,66.36034939799293,103.2494,107.13309999999998,2.2483656030158885,148.97880325771945,243.1596342144,1.0,1.5
C=CC(=O)OCCOC1CC2CC1C1CC=CC21,C=C(C)C(=O)OC,0.0385338000849628,0.061518378913945,-0.0107313255618919,0.0016223562320192,-0.0294990737309035,0.0123536817939111,-0.0187677481690116,-0.214231645,0.0445721163,-0.237737778,-0.0555772235,0.023506133,0.1586544215,85.03545545852957,43.89757804929664,95.1832431738488,66.36034939799293,103.2494,200.2861,2.2625039145997072,178.7163335071814,363.21714909,1.0,2.1
C=CC(=O)OCCOC,C=C(C)C(=O)OC,0.0385338000849628,0.061518378913945,-0.0112758947060456,-8.687428999110125e-05,-0.0308046396439749,0.0111890204160545,-0.0195287449379293,-0.214231645,0.0445721163,-0.255402995,-0.0571476277,0.04117135,0.1570840173,83.65726138363134,38.329500016706945,95.1832431738488,66.36034939799293,103.2494,97.0513,2.248575640581833,55.40163445316523,245.13889876999997,1.0,0.5
C=CC(=O)OCCCCCCCCCCCC,C=C(C)C(=O)OC,0.0385338000849628,0.061518378913945,-0.0141233569449923,-0.0022749576048681,-0.0294615890099976,0.0118483993401241,-0.0153382320650052,-0.214231645,0.0445721163,-0.278033054,-0.055094062,0.063801409,0.159137583,84.22011836106923,44.508565095842194,95.1832431738488,66.36034939799293,103.2494,218.97510000000003,2.2369988571186172,259.64631176170377,355.28483472639994,1.0,5.2
CCOC(=O)C=C(OCC)OCC,C=C(C)C(=O)OC,0.0385338000849628,0.061518378913945,-0.0223005435318555,0.0026934187740152,-0.0162559720079116,0.0249939623058708,0.0060445715239438,-0.214231645,0.0445721163,-0.223109465,-0.016274762,0.00887782,0.197956883,91.36281368074732,59.80809284608445,95.1832431738488,66.36034939799293,103.2494,143.4509,2.0572484044767174,152.54929308000328,303.1807635816,1.0,1.4
